organization,subject_code,subject_code_key,description,description_variants,units,offered_semesters,source_academic_years,prerequisite_codes,prerequisite_logic,prerequisite_confidence,possible_prerequisite_codes,possible_prerequisite_logic,professor_surnames,sections,prerequisite_notes
CCS,PROFELEC1L,PROFELEC1L,Professional Elective 1 LAB,Professional Elective 1 LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DE GUZMAN,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,PROG1,PROG1,Computer Programming 1 LEC,Computer Programming 1 LEC,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,ITP2,ALL,UNASSIGNED,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,PROG1L,PROG1L,Computer Programming 1 LAB,Computer Programming 1 LAB,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,ITP2L,ALL,TANAEL,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,PSPEAK,PSPEAK,Public Speaking,Public Speaking,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALOC|ALONZO|GALLEN|PAYUSAN,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules.
CCS,PT,PT,Platform Technologies LEC,Platform Technologies LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BAUTISTA|RODRIGO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,PTL,PTL,Platform Technologies LAB,Platform Technologies LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BAUTISTA|RODRIGO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,PURPCOMM,PURPCOMM,Purposive Communication,Purposive Communication,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALOC|GALLEN|PAYUSAN,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,QMTHODS,QMTHODS,Quantitative Methods,Quantitative Methods,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAUPAY,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,RIZAL,RIZAL,Rizal's Life and Works,Rizal's Life and Works,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA CRUZ|FERNANDEZ|OLVIS,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules.
CCS,SCITECH,SCITECH,"Science, Technology, and Society","Science, Technology, and Society",3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DE ASIS|DELA CRUZ,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108,No clear prerequisite identified from the uploaded schedules.
CCS,SIA2,SIA2,System Integration and Architecture 2 LEC,System Integration and Architecture 2 LEC,2,1st Semester,AY 2026-2027,SYSARC1|SYSARCH1,ANY,INFERRED_SEQUENCE,NONE,NONE,GARCIA|QUINTO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,SIA 2 follows System Integration and Architecture 1; the source uses two code variants.
CCS,SIA2L,SIA2L,System Integration and Architecture 2 LAB,System Integration and Architecture 2 LAB,1,1st Semester,AY 2026-2027,SYSARC1L|SYSARCH1L,ANY,INFERRED_SEQUENCE,NONE,NONE,GARCIA|QUINTO,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,SIA 2 Laboratory follows the SIA 1 laboratory; the source uses two code variants.
CCS,SOSLIT,SOSLIT,Sosyedad at Literatura/Panitikang Pilipino,Sosyedad at Literatura | Sosyedad at Literatura/Panitikang Pilipino,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA CRUZ|DELARMENTE|DELGADO|FERNANDEZ|OLVIS|PABELARIO,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,SPI,SPI,Social and Professional Issues,Social and Professional Issues,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DADOR|TARRAYA|VALENCIA,IT 401|IT 402|IT 403|IT 404|IT 405|IT 406|IT 407,No clear prerequisite identified from the uploaded schedules.
CCS,SYSARC1,SYSARC1,System Integration and Architecture 1 LEC,System Integration and Architecture 1 LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GARCIA,IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,SYSARC1L,SYSARC1L,System Integration and Architecture 1 LAB,System Integration and Architecture 1 LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GARCIA,IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,SYSARCH1,SYSARCH1,System Integration and Architecture 1 LEC,System Integration and Architecture 1 LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,SYSARCH1L,SYSARCH1L,System Integration and Architecture 1 LAB,System Integration and Architecture 1 LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GARCIA|QUINTO,IT 201|IT 202|IT 203 - DISSOLVED|IT 204|IT 205|IT 206|IT 207|IT 208,No clear prerequisite identified from the uploaded schedules.
CCS,SYSMAIN,SYSMAIN,System Admin and Maintenance LEC,System Admin and Maintenance LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NW1,ALL,UNASSIGNED,IT 401|IT 402|IT 403,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,SYSMAINL,SYSMAINL,System Admin and Maintenance LAB,System Admin and Maintenance LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NW1L,ALL,DE GUZMAN|QUINTO|SANTOS,IT 401|IT 402|IT 403,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,UNDSELF,UNDSELF,Understanding the Self/Pagunawa sa Sarili,Understanding the Self/Pagunawa sa Sarili,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALARIAO|DELARMENTE,IT 101|IT 102|IT 103|IT 104|IT 105|IT 106|IT 107|IT 108|IT 109,No clear prerequisite identified from the uploaded schedules.
CCS,WEBSYS,WEBSYS,Web System and Technologies LEC,Web System and Technologies LEC,2,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,PROG1,ALL,UNASSIGNED,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,WEBSYSL,WEBSYSL,Web System and Technologies LAB,Web System and Technologies LAB,1,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,PROG1L,ALL,GABRIEL|MACINAS,IT 301|IT 302|IT 303|IT 304|IT 305|IT 306|IT 307,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,WST,WST,Web System and Technologies LEC,Web System and Technologies LEC,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1,ALL,DE GUZMAN|DELA CRUZ,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
CCS,WSTL,WSTL,Web System and Technologies LAB,Web System and Technologies LAB,1,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,PROG1L,ALL,DE GUZMAN|DELA CRUZ,IT 201|IT 202|IT 203|IT 204|IT 205|IT 206|IT 207,No clear prerequisite identified from the uploaded schedules. Possible review: Possible curriculum prerequisite; verify before enforcing.
COE,AFROLIT,AFROLIT,Survey of Afro-Asian Literature,Survey of Afro-Asian Literature,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MERCADER,ENG 301|ENG 302,No clear prerequisite identified from the uploaded schedules.
COE,APPSOC,APPSOC,Teaching Approaches in Secondary Social Studies,Teaching Approaches in Secondary Social Studies,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,VARCA,SOC 301,No clear prerequisite identified from the uploaded schedules.
COE,APPVAL,APPVAL,Teaching Approaches and Strategies in Values Education,Teaching Approaches and Strategies in Values Education,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,VAL 301,No clear prerequisite identified from the uploaded schedules.
COE,ARTAPP,ARTAPP,Art Appreciation,Art Appreciation,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ARRABIS|MERCADER,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,ASIA 1,ASIA1,Asian Studies - Ancient Asia,Asian Studies - Ancient Asia,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BARAQUIEL,SOC 201,No clear prerequisite identified from the uploaded schedules.
COE,ASIA 2,ASIA2,Asian Studies 2 - Contemporary Asia,Asian Studies 2 - Contemporary Asia,3,1st Semester,AY 2026-2027,ASIA1,ALL,INFERRED_SEQUENCE,NONE,NONE,VARCA,SOC 301,Clear course sequence inferred from subject codes/descriptions.
COE,ASSMNT 1,ASSMNT1,Assessment in Learning 1,Assessment in Learning 1,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SORIANO,ELEM 301|ELEM 302|ENG 301|FIL 301|FIL 302|SOC 301|VAL 301,No clear prerequisite identified from the uploaded schedules.
COE,ASSMNT 2,ASSMNT2,Assessment in Learning 2,Assessment in Learning 2,3,2nd Semester,AY 2025-2026,ASSMNT1,ALL,INFERRED_SEQUENCE,NONE,NONE,AMPARADO|SORIANO,ELEM 301|ELEM 302|ELEM 303|ELEM 304|ENG 301|ENG 302,Clear course sequence inferred from subject codes/descriptions.
COE,BARWIKA,BARWIKA,Barayti at Baryasyon ng Wika,Barayti at Baryasyon ng Wika,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,PABELARIO,FIL 301|FIL 302,No clear prerequisite identified from the uploaded schedules.
COE,BASMA,BASMA,Basics of School Management and Administration,Basics of School Management and Administration,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,SOC 201,No clear prerequisite identified from the uploaded schedules.
COE,BENLAC,BENLAC,Building ang Enhancing New Literacies Across the Curriculum,Building and Enhancing New Literacies Across the Curriculum | Building ang Enhancing New Literacies Across the Curriculum,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,FRONDA-TAN|VARCA,ELEM 201|ELEM 202|ENG 201|ENG 202|FIL 201|SOCSCI 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,CALLP,CALLP,The Child and Adolescent Learner and Learning Principles,The Child and Adolescent Learner and Learning Principles,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BARAQUIEL|BELISARIO|MANALO|TAN|TULOD,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,No clear prerequisite identified from the uploaded schedules.
COE,CAMJOURN,CAMJOURN,Campus Journalism,Campus Journalism,2,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ENG 301,No clear prerequisite identified from the uploaded schedules.
COE,CARDEV,CARDEV,Career Development and Work Values,Career Development and Work Values,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,JUMADIAO,VAL 301,No clear prerequisite identified from the uploaded schedules.
COE,CHILDLIT,CHILDLIT,Children and Adolescent Literature,Children and Adolescent Literature,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MERCADER,ENG 301,No clear prerequisite identified from the uploaded schedules.
COE,CONPED,CONPED,Content and Pedagogy for the Mother Tongue,Content and Pedagogy for the Mother Tongue,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MARQUEZ,ELEM 201|ELEM 202,No clear prerequisite identified from the uploaded schedules.
COE,CONTFALI,CONTFALI,Contemporary Family Life,Contemporary Family Life,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,VAL 301,No clear prerequisite identified from the uploaded schedules.
COE,CONTPHIL,CONTPHIL,Contemporary Philippine Problems and Issues,Contemporary Philippine Problems and Issues,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,SOC 301,No clear prerequisite identified from the uploaded schedules.
COE,CONWRLD,CONWRLD,The Contemporary World,The Contemporary World,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALOC|CORRALES|CUISON|JUMADIAO|LEI|MAESTRO,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,No clear prerequisite identified from the uploaded schedules.
COE,CREWRIT,CREWRIT,Creative Writing,Creative Writing,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BADILLA,ENG 301,No clear prerequisite identified from the uploaded schedules.
COE,DEVMAT,DEVMAT,Development of Values Education Instructional Materials and Assessment Tools,Development of Values Education Instructional Materials and Assessment Tools,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,VAL 301,No clear prerequisite identified from the uploaded schedules.
COE,DULA,DULA,Dulaang Filipino,Dulaang Filipino,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CUISON,FIL 301|FIL 302,No clear prerequisite identified from the uploaded schedules.
COE,DYNREL,DYNREL,Dynamics of Intra and Interperonal Relations,Dynamics of Intra and Interperonal Relations,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,EDSTAT,EDSTAT,Educational Statistics,Educational Statistics,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,AMPARADO|ASIA|SORIANO,ELEM 201|ELEM 202|ENG 201|FIL 201|FIL 202|SOC 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,EDTECH 1,EDTECH1,Technology for Teaching and Learning 1,Technology for Teaching and Learning 1,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ARRABIS,ELEM 201|ELEM 202|ELEM 203|ENG 201|FIL 201|SOCSCI 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,EDTECH 2,EDTECH2,Technology for Teaching and Learning 2,Technology for Teaching and Learning 2,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,EDTECH1,ALL,INFERRED_SEQUENCE,NONE,NONE,ALOC|SORIANO,ELEM 201|ELEM 202|ENG 201|ENG 202|FIL 201|FIL 202|SOC 201|VAL 201,Clear course sequence inferred from subject codes/descriptions.
COE,ELEKTIB 1,ELEKTIB1,Malikhaing Pagsulat,Malikhaing Pagsulat,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA PENA|MARQUEZ,FIL 201|FIL 202,No clear prerequisite identified from the uploaded schedules.
COE,ENAMLIT,ENAMLIT,Survey of English ang American Literature,Survey of English ang American Literature,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MERCADER,ENG 301|ENG 302,No clear prerequisite identified from the uploaded schedules.
COE,ENVISCI,ENVISCI,Environmental Science,Environmental Science,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ARRABIS|FRONDA-TAN|PARTO,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,EPP,EPP,Edukasyong Pantahanan and Pangkabuhayan,Edukasyong Pantahanan and Pangkabuhayan,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ELEM 301|ELEM 302,No clear prerequisite identified from the uploaded schedules.
COE,EPPENT,EPPENT,Edukasyong Pantahanan at Pangkabuhayan with Entrep,Edukasyong Pantahanan at Pangkabuhayan with Entrep,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GLENDRO,ELEM 301|ELEM 302|ELEM 303|ELEM 304,No clear prerequisite identified from the uploaded schedules.
COE,ESTRUCT,ESTRUCT,Structure of English,Structure of English,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MERCADER,ENG 201,No clear prerequisite identified from the uploaded schedules.
COE,ESWIKA,ESWIKA,Estruktura ng Wikang Filipino,Estruktura ng Wikang Filipino,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELGADO|MARQUEZ,FIL 201|FIL 202,No clear prerequisite identified from the uploaded schedules.
COE,ETHICS,ETHICS,Ethics,Ethics,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ARRABIS,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,FALECT,FALECT,Facilitating Learner-Centered Teaching,Facilitating Learner-Centered Teaching,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,FRONDA-TAN|VARCA|VITALES,ELEM 201|ELEM 202|ELEM 203|ENG 201|FIL 201|SOCSCI 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,FATPRAC,FATPRAC,Facilitation: Theory and Practice,Facilitation: Theory and Practice,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,COMPETENTE,VAL 301,No clear prerequisite identified from the uploaded schedules.
COE,FERCE,FERCE,Foundation of Early Childhood Education,Foundation of Early Childhood Education,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ELEM 301|ELEM 302,No clear prerequisite identified from the uploaded schedules.
COE,FILDIS,FILDIS,Filipino sa Iba't-ibang Disiplina,Filipino sa Iba't-ibang Disiplina,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CALANGIAN|CUISON|DELA PENA|MARQUEZ,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,No clear prerequisite identified from the uploaded schedules.
COE,FILKULIP,FILKULIP,"Ugnayan ng Wika, Kultura, at Lipunan","Ugnayan ng Wika, Kultura, at Lipunan",3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CUISON,FIL 201|FIL 202,No clear prerequisite identified from the uploaded schedules.
COE,FILKURI,FILKURI,Ang Filipino sa Kurikulum ng Batayang Eduka,Ang Filipino sa Kurikulum ng Batayang Eduka,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELA PENA,FIL 201|FIL 202,No clear prerequisite identified from the uploaded schedules.
COE,FILVAL,FILVAL,Filipino Values System,Filipino Values System,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,FILWIK,FILWIK,Introduksyon sa Pag-aaral ng Wika,Introduksyon sa Pag-aaral ng Wika,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,DELGADO,FIL 101,No clear prerequisite identified from the uploaded schedules.
COE,FOSO,FOSO,Foundation of Social Studies,Foundation of Social Studies,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BARAQUIEL,SOCSCI 101,No clear prerequisite identified from the uploaded schedules.
COE,FOSPED,FOSPED,Foundation of Special and Inclusive Education,Foundation of Special and Inclusive Education,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,FRONDA-TAN|MERCADER|VITALES,ELEM 201|ELEM 202|ELEM 203|ENG 201|FIL 201|SOCSCI 201|VAL 201,No clear prerequisite identified from the uploaded schedules.
COE,FOVE,FOVE,Foundation of Values Education,Foundation of Values Education,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MAESTRO,VAL 101,No clear prerequisite identified from the uploaded schedules.
COE,FS 1,FS1,Field Study 1,Field Study 1,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,ELEM 401|ELEM 402|ENG 401|ENG 402,No clear prerequisite identified from the uploaded schedules.
COE,FS 2,FS2,Field Study 1,Field Study 1 | Field Study 2,3,1st Semester,AY 2026-2027,FS1,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ELEM 401|ELEM 402|ENG 401|ENG 402,Clear course sequence inferred from subject codes/descriptions.
COE,GEO 1,GEO1,Geography 1 - Human Geography,Geography 1 - Human Geography,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TULOD,SOC 201,No clear prerequisite identified from the uploaded schedules.
COE,GEO 2,GEO2,Geography 2 - Physical Geography,Geography 2 - Physical Geography,3,1st Semester,AY 2026-2027,GEO1,ALL,INFERRED_SEQUENCE,NONE,NONE,PERALTA,SOC 301,Clear course sequence inferred from subject codes/descriptions.
COE,GMRC,GMRC,Good Manners and Right Conduct (Edukasyon sa Pagpapakatao),Good Manners and Right Conduct (Edukasyon sa Pagpapakatao),3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BEJOSA|SANTOS,ELEM 301|ELEM 302|ELEM 303|ELEM 304,No clear prerequisite identified from the uploaded schedules.
COE,INSPED,INSPED,Introduction to Special Education,Introduction to Special Education,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,RICO|VITALES,ELEM 301|ELEM 302|ELEM 303|ELEM 304,No clear prerequisite identified from the uploaded schedules.
COE,INTROGUIDE,INTROGUIDE,Introduction to Guidance and Counseling,Introduction to Guidance and Counseling,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,COMPETENTE,VAL 301,No clear prerequisite identified from the uploaded schedules.
COE,INTROMID,INTROMID,Introduksyon sa Pamamahayag,Introduksyon sa Pamamahayag,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,EVANGELISTA,FIL 301|FIL 302,No clear prerequisite identified from the uploaded schedules.
COE,KOMFIL,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,Kontekstwalisadong Komunikasyon sa Filipino,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GARCHITORENA,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,KWENBEL,KWENBEL,Maikling Kwento at Nobelang Filipino,Maikling Kwento at Nobelang Filipino,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,FIL 301|FIL 302,No clear prerequisite identified from the uploaded schedules.
COE,LAN ACQ,LANACQ,Principles and Theories of Language Acquisition and Learning,Principles and Theories of Language Acquisition and Learning,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALOC,ENG 201|ENG 202,No clear prerequisite identified from the uploaded schedules.
COE,LCS,LCS,"Language, Culture and Society","Language, Culture and Society",3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,MERCADER,ENG 201,No clear prerequisite identified from the uploaded schedules.
COE,LEAD 1,LEAD1,Leadership 1-Vision and Mission,Leadership 1-Vision and Mission,1.5,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,EDUC 101|EDUC 102|EDUC 103|EDUC 104|EDUC 105|EDUC 106|EDUC 107,No clear prerequisite identified from the uploaded schedules.
COE,LEAD 2,LEAD2,Leadership 2,Leadership 2 | Leadership 2-Personal Development,1.5,2nd Semester,AY 2025-2026,LEAD1,ALL,INFERRED_SEQUENCE,NONE,NONE,LORETO|MARIEL|SALONGA,ELEM101|ELEM102|ELEM103|ELEM104|ENG 101|FIL 101|SOCSCI 101|VAL 101,Clear course sequence inferred from subject codes/descriptions.
COE,LEAD 3,LEAD3,Leadership 3-The Heart of a Leader,Leadership 3 | Leadership 3-The Heart of a Leader,1.5,1st Semester,AY 2026-2027,LEAD2,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ELEM 201|ELEM 202|ELEM 203|ENG 201|FIL 201|SOCSCI 201|VAL 201,Clear course sequence inferred from subject codes/descriptions.
COE,LEAD 4,LEAD4,Leadership 4 - The Hands of a Leader,Leadership 4 | Leadership 4 - The Hands of a Leader,1.5,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,LEAD3,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|LORETO|MARIEL,ELEM 201|ELEM 202|ENG 201|ENG 202|FIL 201|FIL 202|SOC 201|VAL 201,Clear course sequence inferred from subject codes/descriptions.
COE,LEAD 5,LEAD5,Leadership 5,Leadership 5,1.5,1st Semester,AY 2026-2027,LEAD4,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ELEM 301|ELEM 302|ENG 301|FIL 301|FIL 302|SOC 301|VAL 301,Clear course sequence inferred from subject codes/descriptions.
COE,LEAD 6,LEAD6,Leadership 6,Leadership 6 | Leadership 6 - Mentoring Leadership,1.5,2nd Semester,AY 2025-2026,LEAD5,ALL,INFERRED_SEQUENCE,NONE,NONE,JUVELYN|LORETO|MARIEL,ELEM 301|ELEM 302|ELEM 303|ELEM 304|ENG 301|ENG 302,Clear course sequence inferred from subject codes/descriptions.
COE,LEAD 7,LEAD7,Leadership 7,Leadership 7 | Leadership 7-Small Group1,1.5,1st Semester,AY 2026-2027,LEAD6,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,ELEM 401|ELEM 402|ENG 401|ENG 402,Clear course sequence inferred from subject codes/descriptions.
