,PTL,Platform Technologies LAB,1,Mon,02:00 PM-05:00 PM,40575,LAB1,MR. RODRIGO,,HYFLEX A,,,
,SIA2,System Integration and Architecture 2 LEC,2,Tue,05:00 PM-07:00 PM,40679,ONLINE,MS. GARCIA,https://classroom.google.com/c/ODU1Mzg4NjE3MDcy?cjc=mfzllhlj,ONLINE,,,
,SIA2L,System Integration and Architecture 2 LAB,1,Sat,10:30 AM-01:30 PM,40681,LAB4,MS. GARCIA,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,22.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 303,IT 303,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ARTAPP,Art Appreciation,3,Wed,05:00 PM-08:00 PM,40496,3A,MS. DE ASIS,https://classroom.google.com/c/ODY4ODgwOTIzMzIy?cjc=biuflmrb,HYFLEX B,,,
,BMC,Basic Mobile Computing LEC,2,Sat,11:30 AM-01:30 PM,40517,ONLINE,MR. R. VALENCIA,https://classroom.google.com/c/ODY5MDQ4MzcyODQz?cjc=c6fwmygy,ONLINE,,,
,BMCL,Basic Mobile Computing LAB,1,Tue,05:00 PM-08:00 PM,40519,LAB3 ,MR. R. VALENCIA,,F2F,,,
,CAO,Computer Architecture and Organization LEC,2,Mon,03:30 PM-05:30 PM,40449,ONLINE,MR. J. CRUZ,https://classroom.google.com/c/ODY4ODgwOTM0MTI0?cjc=4b3qiupv,ONLINE,,,
,CAOL,Computer Architecture and Organization LAB,1,Wed,02:00 PM-05:00 PM,40451,LAB3 ,MR. J. CRUZ,,HYFLEX B,,,
,DMATH,Discrete Mathematics,3,Sat,05:00 PM-08:00 PM,40559,5B,MS. SANTIAGO,https://classroom.google.com/c/ODY4ODc1NDA4MDkx?cjc=vsrt6qbo,HYFLEX A,,,
,LEAD 5,Leadership 5,1.5,Mon,01:30 PM-03:00 PM,40732,5E,Coach. Rodolfo P. Loreto,https://classroom.google.com/c/ODcwMzgyMjE1MDIy?cjc=oofdvnl2,HYFLEX A,,,
,PRELEC2,Professional Elective 2 LEC,2,Fri,05:30 PM-07:30 PM,40622,ONLINE,MR.CACHO,https://classroom.google.com/c/ODU1NDQ0MDQ1OTM5?cjc=iad7blzc,ONLINE,,,
,PRELEC2L,Professional Elective 2 LAB,1,Tue,02:00 PM-05:00 PM,40624,LAB2,MR.CACHO,,F2F,,,
,PT,Platform Technologies LEC,2,Wed,10:30 AM-12:30 PM,40577,ONLINE,MR. RODRIGO,https://classroom.google.com/c/ODU1NDM3NDg3Mjc2?cjc=2sbasn4t,ONLINE,THU 5:00 PM - 7:00 PM,,
,PTL,Platform Technologies LAB,1,Mon,10:30 AM-01:30 PM,40579,LAB1,MR. RODRIGO,,HYFLEX A,,,
,SIA2,System Integration and Architecture 2 LEC,2,Thu,07:00 PM-09:00 PM,40706,ONLINE,MS. GARCIA,https://classroom.google.com/c/ODY4ODgyMjgyNTE3?cjc=ancj5ag6,ONLINE,,,
,SIA2L,System Integration and Architecture 2 LAB,1,Sat,02:00 PM-05:00 PM,40708,LAB4,MS. GARCIA,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,22.5,********NOTHING FOLLOWS********,,,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 304,IT 304,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ARTAPP,Art Appreciation,3,Fri,02:00 PM-05:00 PM,40498,3B,MS. DE ASIS,https://classroom.google.com/c/ODY4ODc4ODA2NzEz?cjc=l2fhgpy3,HYFLEX B,,,
,BMC,Basic Mobile Computing LEC,2,Wed,07:30 AM-09:30 AM,40521,ONLINE,MR. CACHO,https://classroom.google.com/c/ODY4NzE2MzA0OTg1?cjc=kgd2bpbx,ONLINE,,,
,BMCL,Basic Mobile Computing LAB,1,Mon,10:30 AM-01:30 PM,40523,LAB3 ,MR. CACHO,,F2F,,,
,CAO,Computer Architecture and Organization LEC,2,Mon,01:30 PM-03:30 PM,40453,ONLINE,MR. J. CRUZ,https://classroom.google.com/c/ODY4ODgxNjIzNjUw?cjc=xojrzpym,ONLINE,,,
,CAOL,Computer Architecture and Organization LAB,1,Wed,05:00 PM-08:00 PM,40455,LAB3 ,MR. J. CRUZ,,HYFLEX B,,,
,DMATH,Discrete Mathematics,3,Sat,02:00 PM-05:00 PM,40561,5B,MS. SANTIAGO,https://classroom.google.com/c/ODY4ODc1NzQ0MDgz?cjc=prtweau4,HYFLEX A,,,
,LEAD 5,Leadership 5,1.5,Wed,03:00 PM-04:30 PM,40734,5E,Coach. Juvelyn Ticag,7ne3l43f,HYFLEX B,CHANGED TO: FRI. 9:00 - 10:30,,
,PRELEC2,Professional Elective 2 LEC,2,Wed,11:30 AM-01:30 PM,40627,ONLINE,MR. CACHO,https://classroom.google.com/c/ODU1MzQ1OTg4NjIy?cjc=576nqorc,ONLINE,,,
,PRELEC2L,Professional Elective 2 LAB,1,Mon,07:30 AM-10:30 AM,40630,LAB3 ,MR. CACHO,,F2F,,,
,PT,Platform Technologies LEC,2,Mon,03:30 PM-05:30 PM,40581,ONLINE,MR. A BAUTISTA,https://meet.google.com/wvx-wqsd-tam,ONLINE,,,
,PTL,Platform Technologies LAB,1,Fri,10:30 AM-01:30 PM,40583,LAB1,MR. A BAUTISTA,,HYFLEX B,,,
,SIA2,System Integration and Architecture 2 LEC,2,Thu,05:00 PM-07:00 PM,40710,ONLINE,MS. GARCIA,https://classroom.google.com/c/ODU1Mzg4MDAxNjM4?cjc=xl7atdjw,ONLINE,,,
,SIA2L,System Integration and Architecture 2 LAB,1,Sat,05:00 PM-08:00 PM,40712,LAB4,MS. GARCIA,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,22.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 305,IT 305,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ARTAPP,Art Appreciation,3,Tue,03:00 PM-06:00 PM,40503,3A,MR. GERONIMO,,HYFLEX A,,,
,BMC,Basic Mobile Computing LEC,2,Fri,09:30 AM-11:30 PM,40525,ONLINE,MR. CACHO,https://classroom.google.com/c/ODU1MzQzNDI4MTE5?cjc=r37vrqkh,ONLINE,,,
,BMCL,Basic Mobile Computing LAB,1,Thu,07:30 AM-10:30 AM,40527,LAB3 ,MR. CACHO,,F2F,,,
,CAO,Computer Architecture and Organization LEC,2,Mon,07:00 PM-09:00 PM,40461,ONLINE,MR. ESGUERRA,https://classroom.google.com/c/Nzk4MzY4NDkyNzk3?cjc=ww2ikeaf,ONLINE,,,
,CAOL,Computer Architecture and Organization LAB,1,Tue,06:00 PM-09:00 PM,40463,LAB1,MR. ESGUERRA,,HYFLEX A,,,
,DMATH,Discrete Mathematics,3,Sat,07:30 AM-10:30 AM,40563,5H,MS. ASIA,https://classroom.google.com/c/ODU1MzgxMzI5Nzgw?cjc=mq5wwatu,HYFLEX A,,,
,LEAD 5,Leadership 5,1.5,Tue,09:00 AM-10:30 AM,40736,5E,Coach. Mariel Prado,dlso3jhz,HYFLEX A,,,
,PRELEC2,Professional Elective 2 LEC,2,Fri,07:30 AM-09:30 AM,40636,ONLINE,MR. CACHO,https://classroom.google.com/c/Nzk4MzI4MzU4MTI2?cjc=znpter5i,ONLINE,,,
,PRELEC2L,Professional Elective 2 LAB,1,Thu,10:30 AM-01:30 PM,40639,LAB3 ,MR. CACHO,,F2F,,,
,PT,Platform Technologies LEC,2,Wed,07:00 PM-09:00 PM,40585,ONLINE,MR. RODRIGO,https://classroom.google.com/c/ODcwMjQzNDk5ODcy?cjc=6zn36qxr,ONLINE,,,
,PTL,Platform Technologies LAB,1,Tue,10:30 AM-01:30 PM,40587,LAB1,MR. RODRIGO,,HYFLEX A,,,
,SIA2,System Integration and Architecture 2 LEC,2,Thu,07:00 PM-09:00 PM,40716,ONLINE,MR. R. QUINTO JR.,https://classroom.google.com/c/ODU1NDQ4NjMyNjM1?cjc=7b2mpgkn,ONLINE,,,
,SIA2L,System Integration and Architecture 2 LAB,1,Sat,10:30 AM-01:30 PM,40718,LAB3 ,MR. R. QUINTO JR.,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,22.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 306,IT 306,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ARTAPP,Art Appreciation,3,Fri,10:30 AM-01:30 PM,40505,3A,MS. DE ASIS,https://classroom.google.com/c/ODU1Mzg2Njc1NjAy?cjc=6ufktycw,HYFLEX B,,,
,BMC,Basic Mobile Computing LEC,2,Fri,03:30 PM-05:30 PM,40538,ONLINE,MR. CACHO,https://classroom.google.com/c/ODY4NzE3NjQ4MDk2?cjc=hzuf4ofq,ONLINE,,,
,BMCL,Basic Mobile Computing LAB,1,Thu,05:00 PM-08:00 PM,40543,LAB3 ,MR. CACHO,,F2F,,,
,CAO,Computer Architecture and Organization LEC,2,Mon,05:00 PM-07:00 PM,40465,ONLINE,MR. ESGUERRA,https://classroom.google.com/c/ODY4OTM4OTk0NTU3?cjc=n73xounb,ONLINE,,,
,CAOL,Computer Architecture and Organization LAB,1,Wed,06:00 PM-09:00 PM,40467,LAB1,MR. ESGUERRA,,HYFLEX A,,,
,DMATH,Discrete Mathematics,3,Sat,10:30 AM-01:30 PM,40565,5H,MS. ASIA,https://classroom.google.com/c/ODU1MzgxNTEyNjI3?cjc=6flygaw6,HYFLEX A,,,
,LEAD 5,Leadership 5,1.5,Wed,04:30 PM-06:00 PM,40738,5E,Coach. Jude Salonga,wtexrf3p ,HYFLEX A,,,
,PRELEC2,Professional Elective 2 LEC,2,Fri,01:30 PM-03:30 PM,40645,ONLINE,MR. CACHO,https://classroom.google.com/c/ODY4NzE1Mjk3MjA2?cjc=loan5h53,ONLINE,,,
,PRELEC2L,Professional Elective 2 LAB,1,Thu,02:00 PM-05:00 PM,40647,LAB3 ,MR. CACHO,,F2F,,,
,PT,Platform Technologies LEC,2,Mon,07:00 PM-09:00 PM,40589,ONLINE,MR. A BAUTISTA,https://meet.google.com/onj-bani-zhi,ONLINE,,,
,PTL,Platform Technologies LAB,1,Fri,07:30 AM-10:30 AM,40593,LAB1,MR. A BAUTISTA,,HYFLEX B,,,
,SIA2,System Integration and Architecture 2 LEC,2,Fri,07:00 PM-09:00 PM,40720,ONLINE,MR. R. QUINTO JR.,https://classroom.google.com/c/ODcwMjgwMzA4NDgz?cjc=u7aggul2,ONLINE,,,
,SIA2L,System Integration and Architecture 2 LAB,1,Sat,02:00 PM-05:00 PM,40722,LAB3 ,MR. R. QUINTO JR.,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,22.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 307,IT 307,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ARTAPP,Art Appreciation,3,Thu,02:00 PM-05:00 PM,40507,5F,MS. DELARMENTE,https://classroom.google.com/c/ODY4ODkzNTUyNDg5?cjc=3pt35xmr,HYFLEX A,,,
,BMC,Basic Mobile Computing LEC,2,Wed,05:00 PM-07:00 PM,40545,ONLINE,MR. CACHO,https://classroom.google.com/c/ODY4NzE3MDA4Mjky?cjc=oss2jo5v,ONLINE,,,
,BMCL,Basic Mobile Computing LAB,1,Mon,05:00 PM-08:00 PM,40547,LAB3 ,MR. CACHO,,F2F,,,
,CAO,Computer Architecture and Organization LEC,2,Fri,07:00 PM-09:00 PM,40471,ONLINE,MR. ESGUERRA,https://classroom.google.com/c/ODU1NDAyMTk5NjI2?cjc=uggbyic2,ONLINE,,,
,CAOL,Computer Architecture and Organization LAB,1,Thu,06:00 PM-09:00 PM,40473,LAB1,MR. ESGUERRA,,HYFLEX A,,,
,DMATH,Discrete Mathematics,3,Sat,02:00 PM-05:00 PM,40567,5H,MS. ASIA,https://classroom.google.com/c/ODY4ODUxODg0MTE5?cjc=rtyf2y4z,HYFLEX A,,,
,LEAD 5,Leadership 5,1.5,Thu,12:00 PM-01:30 PM,40740,5E,Coach. Jude Salonga,rn6y7ciw ,HYFLEX A,,,
,PRELEC2,Professional Elective 2 LEC,2,Wed,03:00 PM-05:00 PM,40649,ONLINE,MR. CACHO,https://classroom.google.com/c/Nzk4MzI4MzE2MTY0?cjc=ndgg5mbk,ONLINE,,,
,PRELEC2L,Professional Elective 2 LAB,1,Mon,02:00 PM-05:00 PM,40655,LAB3 ,MR. CACHO,,F2F,,,
,PT,Platform Technologies LEC,2,Wed,12:30 PM-02:30 PM,40595,ONLINE,MR. RODRIGO,https://classroom.google.com/c/ODcwMjQzODU1MDMz?cjc=fv52mvef,ONLINE,FRI 3:00 PM - 5:00 PM,,
,PTL,Platform Technologies LAB,1,Tue,02:00 PM-05:00 PM,40597,LAB1,MR. RODRIGO,,HYFLEX A,,,
,SIA2,System Integration and Architecture 2 LEC,2,Tue,05:00 PM-07:00 PM,40724,ONLINE,MR. R. QUINTO JR.,https://classroom.google.com/c/ODU1NDQ3NDc5ODYz?cjc=6rxgqezd,ONLINE,,,
,SIA2L,System Integration and Architecture 2 LAB,1,Sat,05:00 PM-08:00 PM,40726,LAB3 ,MR. R. QUINTO JR.,,HYFLEX A,,,
,********NOTHING FOLLOWS********,,22.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 401,IT 401,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,BUSANA,Business Analytics,3,Fri,10:30 AM-01:30 PM,40872,LAB2,MR. VALENCIA,https://classroom.google.com/c/ODY5MDQ3ODMzNDA4?cjc=vzfjs5bu,HYFLEX A,,,
,CAPS2,Capstone Project and Research 2 LEC,2,Thu,09:30 AM-11:30 AM,40886,ONLINE,MS. MAUPAY,https://classroom.google.com/c/ODY4ODg1OTI2OTUy?cjc=ggtjprza,ONLINE,,,
,CAPS2L,Capstone Project and Research 2 LAB,1,Sat,07:30 AM-10:30 AM,40888,LAB1,MS. MAUPAY,,HYFLEX A,,,
,IAS2,Information Assurance and Security 2 LEC,2,Thu,07:30 AM-09:30 AM,40914,ONLINE,MS. DELOS SANTOS,https://classroom.google.com/c/ODU1MzkyMDc1MzYy?cjc=n4g2z5ce,ONLINE,,,
,IAS2L,Information Assurance and Security 2 LAB,1,Sat,10:30 AM-01:30 PM,40916,LAB2,MS. DELOS SANTOS,,HYFLEX A,,,
,LEAD 7,Leadership 7,1.5,Sat,01:30 PM-03:00 PM,40942,5E,Coach. Mariel Prado,hocm47lx,HYFLEX A,,,
,SPI,Social and Professional Issues,3,Fri,07:30 AM-10:30 AM,40956,3B,MS. TARRAYA,https://classroom.google.com/c/ODcwNDQ2ODg4MjM0?cjc=4rsnvktg,HYFLEX A,,,
,********NOTHING FOLLOWS********,,13.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 402,IT 402,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,BUSANA,Business Analytics,3,Fri,02:00 PM-05:00 PM,40874,LAB2,MR. VALENCIA,https://classroom.google.com/c/ODY5MDQ2NTc2MDM1?cjc=evxz3q3y,HYFLEX A,,,
,CAPS2,Capstone Project and Research 2 LEC,2,Thu,07:30 AM-09:30 AM,40890,ONLINE,MS. MAUPAY,https://classroom.google.com/c/ODY4ODg3MDM0Njcx?cjc=yk5sizkn,ONLINE,,,
,CAPS2L,Capstone Project and Research 2 LAB,1,Sat,10:30 AM-01:30 PM,40892,LAB1,MS. MAUPAY,,HYFLEX A,,,
,IAS2,Information Assurance and Security 2 LEC,2,Thu,11:30 AM-01:30 PM,40918,ONLINE,MS. DELOS SANTOS,https://classroom.google.com/c/ODY4NzE2NTQ5NTYx?cjc=ekhbr6fw,ONLINE,,,
,IAS2L,Information Assurance and Security 2 LAB,1,Sat,07:30 AM-10:30 AM,40920,LAB2,MS. DELOS SANTOS,,HYFLEX A,,,
,LEAD 7,Leadership 7,1.5,Fri,09:00 AM-10:30 AM,40944,5E,Coach. Jude Salonga,5byghsox,HYFLEX A,,,
,SPI,Social and Professional Issues,3,Fri,10:30 AM-01:30 PM,40958,3B,MS. TARRAYA,https://classroom.google.com/c/ODcwNDQ3MTA5ODYw?cjc=lzhzhd3d,HYFLEX A,,,
,********NOTHING FOLLOWS********,,13.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 403,IT 403,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,BUSANA,Business Analytics,3,Thu,02:00 PM-05:00 PM,40876,LAB2,MR. VALENCIA,https://classroom.google.com/c/ODY5MDQ4OTM1MTg2?cjc=wtrqcrp2,HYFLEX A,,,
,CAPS2,Capstone Project and Research 2 LEC,2,Thu,11:30 AM-01:30 PM,40894,ONLINE,MS. MAUPAY,https://classroom.google.com/c/ODY4ODg1MDU4Nzkz?cjc=qmntcwt5,ONLINE,,,
,CAPS2L,Capstone Project and Research 2 LAB,1,Sat,02:00 PM-05:00 PM,40896,LAB1,MS. MAUPAY,,HYFLEX A,,,
,IAS2,Information Assurance and Security 2 LEC,2,Thu,09:30 AM-11:30 AM,40922,ONLINE,MS. DELOS SANTOS,https://classroom.google.com/c/ODU1MzkyNzE2NDAx?cjc=q2pd3alp,ONLINE,,,
,IAS2L,Information Assurance and Security 2 LAB,1,Sat,05:00 PM-08:00 PM,40924,LAB2,MS. DELOS SANTOS,,HYFLEX A,,,
,LEAD 7,Leadership 7,1.5,Sat,12:00 PM-01:30 PM,40946,5E,Coach. Rodolfo P. Loreto,https://classroom.google.com/c/Nzk4NDA4Nzc2MDgw?cjc=kv42zewt,HYFLEX A,,,
,SPI,Social and Professional Issues,3,Thu,05:00 PM-08:00 PM,40960,3B,MR. DADOR,https://classroom.google.com/c/Nzk4NDI3NTQ0NDI5?cjc=ooyqykry,HYFLEX A,,,
,********NOTHING FOLLOWS********,,13.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 404,IT 404,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,BUSANA,Business Analytics,3,Fri,05:00 PM-08:00 PM,40878,LAB2,MR. VALENCIA,https://classroom.google.com/c/ODY5MDQ5MDc0NjYx?cjc=xc7jx4f3,HYFLEX A,,,
,CAPS2,Capstone Project and Research 2 LEC,2,Thu,01:30 PM-03:30 PM,40898,ONLINE,MS. MAUPAY,https://classroom.google.com/c/ODY4ODg3MzM5MTc0?cjc=btqmiyir,ONLINE,,,
,CAPS2L,Capstone Project and Research 2 LAB,1,Sat,05:00 PM-08:00 PM,40900,LAB1,MS. MAUPAY,,HYFLEX A,,,
,IAS2,Information Assurance and Security 2 LEC,2,Thu,03:30 PM-05:30 PM,40926,ONLINE,MS. DELOS SANTOS,https://classroom.google.com/c/ODY4ODk5MDcyMjA2?cjc=or5oapaz,ONLINE,,,
,IAS2L,Information Assurance and Security 2 LAB,1,Sat,02:00 PM-05:00 PM,40928,LAB2,MS. DELOS SANTOS,,HYFLEX A,,,
,LEAD 7,Leadership 7,1.5,Fri,12:00 PM-01:30 PM,40948,5E,Coach. Juvelyn Ticag,a54ysddy,HYFLEX A,,,
,SPI,Social and Professional Issues,3,Fri,02:00 PM-05:00 PM,40962,3B,MS. TARRAYA,https://classroom.google.com/c/ODcwNDQ3MDk2MDI1?cjc=msrmtz7c,HYFLEX A,,,
,********NOTHING FOLLOWS********,,13.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 405,IT 405,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,BUSANA,Business Analytics,3,Mon,02:00 PM-05:00 PM,40880,LAB2,MR. VALENCIA,https://classroom.google.com/c/ODY5MDQ4OTg0NTcy?cjc=26w74xem,HYFLEX A,,,
,CAPS2,Capstone Project and Research 2 LEC,2,Tue,05:00 PM-07:00 PM,40902,ONLINE,MR. RODRIGO,https://classroom.google.com/c/ODY4ODczMTg2Mzcz?cjc=pgvqczkl,ONLINE,,,
,CAPS2L,Capstone Project and Research 2 LAB,1,Wed,07:30 AM-10:30 AM,40904,LAB1,MR. RODRIGO,,HYFLEX B,,,
,IAS2,Information Assurance and Security 2 LEC,2,Tue,07:00 PM-09:00 PM,40930,ONLINE,MR. BORJA,https://classroom.google.com/c/ODY5MDA5NTYxMTU2?cjc=tp55bb2d,ONLINE,,,
,IAS2L,Information Assurance and Security 2 LAB,1,Mon,05:00 PM-08:00 PM,40932,LAB2,MR. BORJA,,HYFLEX A,,,
,LEAD 7,Leadership 7,1.5,Wed,12:00 PM-01:30 PM,40950,5E,Coach. Mariel Prado,zvt5sq2k,,,,
,SPI,Social and Professional Issues,3,Mon,10:30 AM-01:30 PM,40964,5A,MR. DADOR,https://classroom.google.com/c/ODcwNTQ0NTE2NzA3?cjc=fhoqb3bj,HYFLEX A,TUE 2:00 PM - 5:00 PM,,
,********NOTHING FOLLOWS********,,13.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 406,IT 406,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,BUSANA,Business Analytics,3,Mon,10:30 AM-01:30 PM,40882,LAB2,MR. VALENCIA,https://classroom.google.com/c/ODY5MDQ4NjgwOTgy?cjc=xuyzncgl,HYFLEX A,,,
,CAPS2,Capstone Project and Research 2 LEC,2,Tue,07:00 PM-09:00 PM,40906,ONLINE,MR. RODRIGO,https://classroom.google.com/c/ODY4ODc1OTg1MzM3?cjc=o5xjdlh6,ONLINE,,,
,CAPS2L,Capstone Project and Research 2 LAB,1,Wed,10:30 AM-01:30 PM,40908,LAB1,MR. RODRIGO,,HYFLEX B,,,
,IAS2,Information Assurance and Security 2 LEC,2,Tue,05:00 PM-07:00 PM,40934,ONLINE,MR. BORJA,https://classroom.google.com/c/ODY5MDAwNzg1MDEx?cjc=vrzbv7m2,ONLINE,,,
,IAS2L,Information Assurance and Security 2 LAB,1,Thu,05:00 PM-08:00 PM,40936,LAB4,MR. BORJA,,HYFLEX A,,,
,LEAD 7,Leadership 7,1.5,Wed,07:30 AM-09:00 AM,40952,5E,Coach. Juvelyn Ticag,xml52ouu,HYFLEX A,,,
,SPI,Social and Professional Issues,3,Mon,07:30 AM-10:30 AM,40966,5A,MR. VALENCIA,https://classroom.google.com/c/ODcwNDIzOTQwNTE1?cjc=2dzt4w2s,HYFLEX A,,,
,********NOTHING FOLLOWS********,,13.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 407,IT 407,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,BUSANA,Business Analytics,3,Thu,05:00 PM-08:00 PM,40884,LAB2,MR. VALENCIA,https://classroom.google.com/c/ODY5MDQ2OTUyNjQ4?cjc=e3kljzzf,HYFLEX A,,,
,CAPS2,Capstone Project and Research 2 LEC,2,Fri,01:00 PM-03:00 PM,40910,ONLINE,MR. RODRIGO,https://classroom.google.com/c/ODY4ODc2NjI3MDIy?cjc=lfcwnxus,ONLINE,,,
,CAPS2L,Capstone Project and Research 2 LAB,1,Wed,02:00 PM-05:00 PM,40912,LAB1,MR. RODRIGO,,HYFLEX B,,,
,IAS2,Information Assurance and Security 2 LEC,2,Fri,03:00 PM-05:00 PM,40938,ONLINE,MR. BORJA,https://classroom.google.com/c/ODY5MDA0Mzg4NDA0?cjc=vb5s67x6,ONLINE,,,
,IAS2L,Information Assurance and Security 2 LAB,1,Fri,05:00 PM-08:00 PM,40940,LAB1,MR. BORJA,,HYFLEX A,,,
,LEAD 7,Leadership 7,1.5,Wed,12:00 PM-01:30 PM,40954,5E,Coach. Jude Salonga,pn4b66m7,HYFLEX A,,,
,SPI,Social and Professional Issues,3,Thu,02:00 PM-05:00 PM,40968,5A,MR. DADOR,https://classroom.google.com/c/Nzk4NDI3MTE3MzEx?cjc=oxmjqou5,HYFLEX A,WED 5:00 PM - 8:00 PM,,
,********NOTHING FOLLOWS********,,13.5,********NOTHING FOLLOWS********,,,,,,,,,
